id,text,missing_auth,missing_authz,missing_encryption,missing_validation,missing_audit,missing_ratelimit,category
1,Center the logo image on the landing page.,0,0,0,0,0,0,user_interface
2,API to fetch details for item 32.,0,1,0,0,0,1,api_endpoint
3,Update the color scheme for component 19.,0,0,0,0,0,0,user_interface
4,Endpoint to reset password via email link.,0,0,1,1,1,1,authentication
5,Send SMS notifications with OTP.,1,0,0,1,1,1,notification
6,Admin tool to modify transaction 21.,1,1,0,1,1,0,admin_function
7,Store user medical history in the DB.,1,1,1,0,1,0,data_storage
8,Admin tool to modify transaction 27.,1,1,0,1,1,0,admin_function
9,Admin tool to modify transaction 35.,1,1,0,1,1,0,admin_function
10,Government ID verification service.,1,1,1,1,1,1,integration
11,Admin tool to modify transaction 17.,1,1,0,1,1,0,admin_function
12,Validate that the email field contains an '@' symbol.,0,0,0,0,0,0,user_interface
13,Change the font size of the header to 24px.,0,0,0,0,0,0,user_interface
14,Critical system 38 handling sensitive PII and payments.,1,1,1,1,1,1,integration
15,Admin tool to modify transaction 1.,1,1,0,1,1,0,admin_function
16,Critical system 24 handling sensitive PII and payments.,1,1,1,1,1,1,integration
17,Admin tool to modify transaction 18.,1,1,0,1,1,0,admin_function
18,Synchronize all customer data to external CRM.,1,0,1,0,1,0,integration
19,API to fetch details for item 16.,0,1,0,0,0,1,api_endpoint
20,API to fetch details for item 5.,0,1,0,0,0,1,api_endpoint
21,Update the color scheme for component 1.,0,0,0,0,0,0,user_interface
22,Critical system 7 handling sensitive PII and payments.,1,1,1,1,1,1,integration
23,Update the color scheme for component 13.,0,0,0,0,0,0,user_interface
24,Endpoint to update user status message.,1,0,0,1,0,0,api_endpoint
25,Update the color scheme for component 26.,0,0,0,0,0,0,user_interface
26,API to fetch details for item 3.,0,1,0,0,0,1,api_endpoint
27,Hide the sidebar on mobile devices.,0,0,0,0,0,0,user_interface
28,Write a script to count lines in a text file.,0,0,0,0,0,0,trivial
29,Webhook listener for 3rd party events.,1,0,0,1,0,0,integration
30,Create an API to transfer funds between accounts.,1,1,0,1,1,0,payment
31,Update the color scheme for component 10.,0,0,0,0,0,0,user_interface
32,Admin tool to modify transaction 9.,1,1,0,1,1,0,admin_function
33,Sort the table of product names alphabetically.,0,0,0,0,0,0,user_interface
34,Display the version number in the settings menu.,0,0,0,0,0,0,user_interface
35,Create user registration flow.,0,0,1,1,0,1,authentication
36,Nuclear reactor control dashboard.,1,1,1,1,1,1,admin_function
37,Critical system 13 handling sensitive PII and payments.,1,1,1,1,1,1,integration
38,API to fetch details for item 22.,0,1,0,0,0,1,api_endpoint
39,Update the color scheme for component 2.,0,0,0,0,0,0,user_interface
40,Critical system 11 handling sensitive PII and payments.,1,1,1,1,1,1,integration
41,Implement a dark mode toggle switch.,0,0,0,0,0,0,user_interface
42,Calculate the Fibonacci sequence up to 100.,0,0,0,0,0,0,trivial
43,Upload CSV to import contacts.,0,0,0,1,0,1,file_upload
44,Format the date string to DD/MM/YYYY.,0,0,0,0,0,0,user_interface
45,Admin tool to modify transaction 32.,1,1,0,1,1,0,admin_function
46,API to fetch details for item 8.,0,1,0,0,0,1,api_endpoint
47,Admin tool to modify transaction 33.,1,1,0,1,1,0,admin_function
