id,text,missing_auth,missing_authz,missing_encryption,missing_validation,missing_audit,missing_ratelimit,category,is_augmented
1,Center the logo image on the landing page.,0,0,0,0,0,0,user_interface,0
1_aug_0,Ensure that Center the logo image on the landing page. (Variation 1),0,0,0,0,0,0,user_interface,1
1_aug_1,It is required to Center the logo image on the landing page. (Variation 2),0,0,0,0,0,0,user_interface,1
1_aug_2,The system shall Center the logo image on the landing page. (Variation 3),0,0,0,0,0,0,user_interface,1
2,API to fetch details for item 32.,0,1,0,0,0,1,api_endpoint,0
2_aug_3,Ensure that API to fetch details for item 32. (Variation 1),0,1,0,0,0,1,api_endpoint,1
2_aug_4,It is required to API to fetch details for item 32. (Variation 2),0,1,0,0,0,1,api_endpoint,1
2_aug_5,The system shall API to fetch details for item 32. (Variation 3),0,1,0,0,0,1,api_endpoint,1
3,Update the color scheme for component 19.,0,0,0,0,0,0,user_interface,0
3_aug_6,Ensure that Update the color scheme for component 19. (Variation 1),0,0,0,0,0,0,user_interface,1
3_aug_7,It is required to Update the color scheme for component 19. (Variation 2),0,0,0,0,0,0,user_interface,1
3_aug_8,The system shall Update the color scheme for component 19. (Variation 3),0,0,0,0,0,0,user_interface,1
4,Endpoint to reset password via email link.,0,0,1,1,1,1,authentication,0
4_aug_9,Ensure that Endpoint to reset password via email link. (Variation 1),0,0,1,1,1,1,authentication,1
4_aug_10,It is required to Endpoint to reset password via email link. (Variation 2),0,0,1,1,1,1,authentication,1
4_aug_11,The system shall Endpoint to reset password via email link. (Variation 3),0,0,1,1,1,1,authentication,1
5,Send SMS notifications with OTP.,1,0,0,1,1,1,notification,0
5_aug_12,Ensure that Send SMS notifications with OTP. (Variation 1),1,0,0,1,1,1,notification,1
5_aug_13,It is required to Send SMS notifications with OTP. (Variation 2),1,0,0,1,1,1,notification,1
5_aug_14,The system shall Send SMS notifications with OTP. (Variation 3),1,0,0,1,1,1,notification,1
6,Admin tool to modify transaction 21.,1,1,0,1,1,0,admin_function,0
6_aug_15,Ensure that Admin tool to modify transaction 21. (Variation 1),1,1,0,1,1,0,admin_function,1
6_aug_16,It is required to Admin tool to modify transaction 21. (Variation 2),1,1,0,1,1,0,admin_function,1
6_aug_17,The system shall Admin tool to modify transaction 21. (Variation 3),1,1,0,1,1,0,admin_function,1
7,Store user medical history in the DB.,1,1,1,0,1,0,data_storage,0
7_aug_18,Ensure that Store user medical history in the DB. (Variation 1),1,1,1,0,1,0,data_storage,1
7_aug_19,It is required to Store user medical history in the DB. (Variation 2),1,1,1,0,1,0,data_storage,1
7_aug_20,The system shall Store user medical history in the DB. (Variation 3),1,1,1,0,1,0,data_storage,1
8,Admin tool to modify transaction 27.,1,1,0,1,1,0,admin_function,0
8_aug_21,Ensure that Admin tool to modify transaction 27. (Variation 1),1,1,0,1,1,0,admin_function,1
8_aug_22,It is required to Admin tool to modify transaction 27. (Variation 2),1,1,0,1,1,0,admin_function,1
8_aug_23,The system shall Admin tool to modify transaction 27. (Variation 3),1,1,0,1,1,0,admin_function,1
9,Admin tool to modify transaction 35.,1,1,0,1,1,0,admin_function,0
9_aug_24,Ensure that Admin tool to modify transaction 35. (Variation 1),1,1,0,1,1,0,admin_function,1
9_aug_25,It is required to Admin tool to modify transaction 35. (Variation 2),1,1,0,1,1,0,admin_function,1
9_aug_26,The system shall Admin tool to modify transaction 35. (Variation 3),1,1,0,1,1,0,admin_function,1
10,Government ID verification service.,1,1,1,1,1,1,integration,0
10_aug_27,Ensure that Government ID verification service. (Variation 1),1,1,1,1,1,1,integration,1
10_aug_28,It is required to Government ID verification service. (Variation 2),1,1,1,1,1,1,integration,1
10_aug_29,The system shall Government ID verification service. (Variation 3),1,1,1,1,1,1,integration,1
11,Admin tool to modify transaction 17.,1,1,0,1,1,0,admin_function,0
11_aug_30,Ensure that Admin tool to modify transaction 17. (Variation 1),1,1,0,1,1,0,admin_function,1
11_aug_31,It is required to Admin tool to modify transaction 17. (Variation 2),1,1,0,1,1,0,admin_function,1
11_aug_32,The system shall Admin tool to modify transaction 17. (Variation 3),1,1,0,1,1,0,admin_function,1
12,Validate that the email field contains an '@' symbol.,0,0,0,0,0,0,user_interface,0
12_aug_33,Ensure that Validate that the email field contains an '@' symbol. (Variation 1),0,0,0,0,0,0,user_interface,1
12_aug_34,It is required to Validate that the email field contains an '@' symbol. (Variation 2),0,0,0,0,0,0,user_interface,1
12_aug_35,The system shall Validate that the email field contains an '@' symbol. (Variation 3),0,0,0,0,0,0,user_interface,1
13,Change the font size of the header to 24px.,0,0,0,0,0,0,user_interface,0
13_aug_36,Ensure that Change the font size of the header to 24px. (Variation 1),0,0,0,0,0,0,user_interface,1
13_aug_37,It is required to Change the font size of the header to 24px. (Variation 2),0,0,0,0,0,0,user_interface,1
13_aug_38,The system shall Change the font size of the header to 24px. (Variation 3),0,0,0,0,0,0,user_interface,1
14,Critical system 38 handling sensitive PII and payments.,1,1,1,1,1,1,integration,0
14_aug_39,Ensure that Critical system 38 handling sensitive PII and payments. (Variation 1),1,1,1,1,1,1,integration,1
14_aug_40,It is required to Critical system 38 handling sensitive PII and payments. (Variation 2),1,1,1,1,1,1,integration,1
14_aug_41,The system shall Critical system 38 handling sensitive PII and payments. (Variation 3),1,1,1,1,1,1,integration,1
15,Admin tool to modify transaction 1.,1,1,0,1,1,0,admin_function,0
15_aug_42,Ensure that Admin tool to modify transaction 1. (Variation 1),1,1,0,1,1,0,admin_function,1
15_aug_43,It is required to Admin tool to modify transaction 1. (Variation 2),1,1,0,1,1,0,admin_function,1
15_aug_44,The system shall Admin tool to modify transaction 1. (Variation 3),1,1,0,1,1,0,admin_function,1
16,Critical system 24 handling sensitive PII and payments.,1,1,1,1,1,1,integration,0
16_aug_45,Ensure that Critical system 24 handling sensitive PII and payments. (Variation 1),1,1,1,1,1,1,integration,1
16_aug_46,It is required to Critical system 24 handling sensitive PII and payments. (Variation 2),1,1,1,1,1,1,integration,1
16_aug_47,The system shall Critical system 24 handling sensitive PII and payments. (Variation 3),1,1,1,1,1,1,integration,1
17,Admin tool to modify transaction 18.,1,1,0,1,1,0,admin_function,0
17_aug_48,Ensure that Admin tool to modify transaction 18. (Variation 1),1,1,0,1,1,0,admin_function,1
17_aug_49,It is required to Admin tool to modify transaction 18. (Variation 2),1,1,0,1,1,0,admin_function,1
17_aug_50,The system shall Admin tool to modify transaction 18. (Variation 3),1,1,0,1,1,0,admin_function,1
18,Synchronize all customer data to external CRM.,1,0,1,0,1,0,integration,0
18_aug_51,Ensure that Synchronize all customer data to external CRM. (Variation 1),1,0,1,0,1,0,integration,1
18_aug_52,It is required to Synchronize all customer data to external CRM. (Variation 2),1,0,1,0,1,0,integration,1
18_aug_53,The system shall Synchronize all customer data to external CRM. (Variation 3),1,0,1,0,1,0,integration,1
19,API to fetch details for item 16.,0,1,0,0,0,1,api_endpoint,0
19_aug_54,Ensure that API to fetch details for item 16. (Variation 1),0,1,0,0,0,1,api_endpoint,1
19_aug_55,It is required to API to fetch details for item 16. (Variation 2),0,1,0,0,0,1,api_endpoint,1
19_aug_56,The system shall API to fetch details for item 16. (Variation 3),0,1,0,0,0,1,api_endpoint,1
20,API to fetch details for item 5.,0,1,0,0,0,1,api_endpoint,0
20_aug_57,Ensure that API to fetch details for item 5. (Variation 1),0,1,0,0,0,1,api_endpoint,1
20_aug_58,It is required to API to fetch details for item 5. (Variation 2),0,1,0,0,0,1,api_endpoint,1
20_aug_59,The system shall API to fetch details for item 5. (Variation 3),0,1,0,0,0,1,api_endpoint,1
21,Update the color scheme for component 1.,0,0,0,0,0,0,user_interface,0
21_aug_60,Ensure that Update the color scheme for component 1. (Variation 1),0,0,0,0,0,0,user_interface,1
21_aug_61,It is required to Update the color scheme for component 1. (Variation 2),0,0,0,0,0,0,user_interface,1
21_aug_62,The system shall Update the color scheme for component 1. (Variation 3),0,0,0,0,0,0,user_interface,1
22,Critical system 7 handling sensitive PII and payments.,1,1,1,1,1,1,integration,0
22_aug_63,Ensure that Critical system 7 handling sensitive PII and payments. (Variation 1),1,1,1,1,1,1,integration,1
22_aug_64,It is required to Critical system 7 handling sensitive PII and payments. (Variation 2),1,1,1,1,1,1,integration,1
